p_val,avg_log2FC,pct.1,pct.2,p_val_adj,marker,celltype,de
53177,4.52023759806003e-78,1.14682127159153,0.199,0.067,1.7256459054354e-73,LINC00937,Ast,Up reg
53201,1.33937363917539e-75,0.672763150277158,0.283,0.122,5.11319280491598e-71,SAT2,Ast,Up reg
53203,2.26545802961851e-75,1.0524954726519,0.264,0.114,8.64861257387161e-71,GLIDR,Ast,Up reg
53232,1.0558713004241e-72,1.68397239962624,0.182,0.062,4.03089427649903e-68,AC012593.1,Ast,Up reg
53248,3.05323482209955e-71,-0.707084191390219,0.351,0.522,1.16560292568472e-66,TRAF3IP2-AS1,Ast,Down reg
53253,1.62397914277359e-70,1.20608365950967,0.245,0.104,6.19970277545247e-66,RGR,Ast,Up reg
53269,1.49887374052579e-68,0.622017214750489,0.462,0.267,5.72210039183126e-64,ALK,Ast,Up reg
53281,1.74242526465391e-67,2.11514099393891,0.111,0.022,6.65188269034277e-63,AP002884.1,Ast,Up reg
53334,5.20157005179975e-63,0.626441631448881,0.349,0.185,1.98575138297507e-58,NBPF1,Ast,Up reg
53369,3.84717072356692e-61,-0.639143721227453,0.722,0.732,1.46869589542891e-56,OSBPL6,Ast,Down reg
53406,6.95011165871198e-59,-0.669456978722403,0.343,0.502,2.65327462682988e-54,TAPT1-AS1,Ast,Down reg
53412,4.99191118706203e-58,1.54880173020837,0.13,0.038,1.9057120147728e-53,SPDYE5,Ast,Up reg
53440,6.53325770615093e-56,1.11712465423547,0.192,0.08,2.49413646190018e-51,POLN,Ast,Up reg
53451,2.78011965954426e-55,0.96062298247568,0.203,0.088,1.06133848122762e-50,FP700111.1,Ast,Up reg
53454,3.28726849852631e-55,0.766119408908343,0.192,0.08,1.2549476219974e-50,RFNG,Ast,Up reg
53456,3.95729785675682e-55,1.82072744567318,0.12,0.035,1.51073802979548e-50,AP003086.2,Ast,Up reg
53467,8.50838931219191e-55,0.647758846543917,0.273,0.136,3.24816270382238e-50,CYP4F11,Ast,Up reg
53492,1.8316096797636e-53,0.852758892764739,0.207,0.091,6.99235311346551e-49,CRLF1,Ast,Up reg
53517,3.22466008530322e-52,0.706263487552181,0.228,0.106,1.23104623416536e-47,RASD1,Ast,Up reg
53539,2.40080060563504e-51,0.672410140721662,0.28,0.147,9.16529639207234e-47,LRRC37A2,Ast,Up reg
53556,1.519583609832e-50,0.640887432232383,0.215,0.099,5.80116238889463e-46,SPSB3,Ast,Up reg
53691,3.36053010275051e-45,0.719597840665374,0.154,0.063,1.28291597202603e-40,MFSD10,Ast,Up reg
53712,1.85292660094042e-44,1.05930722358898,0.101,0.029,7.07373259175016e-40,AL121827.2,Ast,Up reg
53774,1.1005904962444e-42,1.49809907139527,0.085,0.022,4.20161427846262e-38,AC012636.1,Ast,Up reg
53782,2.58432865788039e-42,0.607890679438822,0.204,0.1,9.86593308432418e-38,TOM1L1,Ast,Up reg
53815,2.23309579286971e-41,-0.636463457552513,0.303,0.429,8.52506649885941e-37,SUCLG2-AS1,Ast,Down reg
53891,1.12552211926821e-39,0.619492462034383,0.129,0.051,4.29679324251831e-35,PPP1R35,Ast,Up reg
53929,1.48148029782553e-38,1.06911245582747,0.121,0.047,5.65569918497874e-34,C1orf56,Ast,Up reg
53945,4.25197420592938e-38,1.17376447606988,0.106,0.038,1.6232336728556e-33,OOEP,Ast,Up reg
53975,1.62320005247998e-37,0.920046469807692,0.133,0.056,6.19672852034758e-33,GOLGA8M,Ast,Up reg
54010,5.79390368898354e-37,0.685902423527987,0.19,0.096,2.21188067230635e-32,SOCS5,Ast,Up reg
54020,8.06810667346215e-37,0.627209449021078,0.14,0.06,3.08008040366091e-32,COPZ1,Ast,Up reg
54075,7.51808539426048e-36,1.04104145182971,0.101,0.036,2.87010428011288e-31,FKBP2,Ast,Up reg
54084,9.41274013354948e-36,1.10679927876595,0.124,0.051,3.59340767338385e-31,NPIPB13,Ast,Up reg
54294,9.17450759259324e-33,1.3438324119207,0.069,0.019,3.50246001854839e-28,TMPRSS3,Ast,Up reg
